title,text
Angelina Jolie makes emotional speech about victims of abuse,"Angelina Jolie makes emotional speech about victims of abuse This video can not be played Angelina Jolie made an emotional speech while advocating for the Violence Against Women Act. The actress addressed the US Congress and started to well up as she started talking about victims of abuse. A group of bipartisan senators passed the renewal of the Violence Against Women Act, a decades-old law that lawmakers had failed to reauthorise in recent years. It's hoped that the legislation will help reduce domestic violence and extend support for victims."
Imran Khan: Pakistan's former PM decries arrest attempt amid violence,"Imran Khan: Pakistan's former PM decries arrest attempt amid violence This video can not be played Watch: Imran Khan's Lahore house hit with tear gas Pakistan's main opposition leader Imran Khan says the authorities are acting outside the law in their attempt to arrest him. ""They should all be subject to the law of the land,"" he told the BBC.  On Tuesday police clashed with supporters of Mr Khan, a former prime minister, outside his residence as they tried to detain him on a court order.  He is facing allegations he sold state gifts while in office. He says the case is politically motivated. There was a tense situation outside his compound in the city of Lahore as police tried to force their way in.  Officers fired tear gas shells to disperse supporters of Mr Khan, who threw stones and bricks.  In a video address, the politician, 70, offered to sign a guarantee that he will appear in an Islamabad court on Saturday. He added that there were security concerns as two militant attacks had previously taken place at the court.  Mr Khan claimed there was ""no reason"" for police to arrest him on Tuesday as he had taken protective bail until Saturday. He also said the government was determined to put him behind bars after previous failed attempts. ""I'm mentally prepared that I'm going to be spending my night in a cell,"" he said on Tuesday. ""I don't know how many nights, but I'm all prepared for that."" The former prime minister showed what he said were tear gas cannisters, which he said had been fired into his property.  He said the authorities were trying to arrest him to stop his party from taking part in forthcoming elections. But he added: ""Whether I am in jail or not they will not be able to stop my party winning."" Government minister Marriyum Aurangzeb said the move had nothing to do with elections and police were only complying with court orders to arrest him over corruption cases.  She claimed that Mr Khan was using his party workers, women and children as human shields to evade arrest and stoke unrest. Mr Khan's supporters are also holding protests in other cities. He was ousted as prime minister last April but has kept up pressure on his successor Shehbaz Sharif with demonstrations and speeches calling for elections due later this year to be held early. He blames Mr Sharif for an assassination attempt at a rally in November in which he was wounded in the leg. Watch: Imran Khan's house hit with tear gas. Video, 00:00:41Watch: Imran Khan's house hit with tear gas The cricket hero bowled out as Pakistan's PM Imran Khan’s high-stakes election gamble Huge crowds for Khan at first rally since shooting Imran Khan survives deadly Pakistan rally shooting Imran Khan barred from public office in Pakistan"
Gun control: Biden to sign executive order on background checks,"Gun control: Biden to sign executive order on background checks US President Joe Biden is set to issue an executive order that aims to increase the number of background checks conducted before firearm sales. It aims to move the US ""as close to universal background checks as possible without additional legislation"". The Democratic president will sign the measure during a visit Tuesday to Monterey Park, California, where a gunman killed 11 people in January. Action on gun control appears unlikely in a divided Washington. Last year, Mr Biden signed a cross-party gun violence reduction measure into law and he has repeatedly asked Congress to do more about what he calls an ""epidemic"". But his call for an assault weapons ban, universal background checks on gun sales and repealing gun manufacturers' immunity from prosecution are unlikely to make headway while Republicans control the US House of Representatives. Mr Biden's executive order  - which does not require the approval of Congress - acknowledges this political reality and lays out a series of actions within his authority, beginning with the expansion of background checks. Universal background checks - or the requirement to run a gun buyer's information through an FBI database before a sale is made - are seen as key to closing legal loopholes that allow prohibited purchases and are supported by a broad majority of the American public. But legislation that requires criminal background checks for all guns sales has languished in the Senate with even some Democrats opposing it. Tuesday's order aims to crack down on gun sellers who break the law. Mr Biden will direct the US attorney general to clarify the statutory definition of who is ""engaged in the business"" of dealing in firearms, to devise a plan that prevents firearms dealers whose licenses were revoked from continuing to sell, and to name and shame firearms dealers who are breaking the law. Kris Brown, president of the gun control non-profit Brady, wrote on Twitter: ""While we still need urgent legislative action from Congress, [the president's] announcement today gets us closer to universal background checks than any other President that has come before."" The executive order also calls for a proposal on how the federal government can meet the short and long-term needs of a community impacted by mass shootings, similar to how authorities respond to natural disasters. Separately, the measure asks the Federal Trade Commission to issue a report on how gun manufacturers target civilians, especially minors. It also aims to reduce the theft or loss of firearms during shipment between dealers, and mandate better reporting of ballistics data so law enforcement can match shell casings to the guns from which they were fired. The president's directive includes a call for raising public awareness over safe firearm storage and over ""red flag"" laws, also known as extreme risk protection orders. Signed in 19 states and the District of Columbia, these laws allow individuals to petition a court to temporarily confiscate guns from people with potentially violent or harmful behaviour. Last month, the Justice Department sent out more than $200m to help states administer their red flag laws. Reaction to the executive order was largely positive on Tuesday. The Everytown gun control coalition wrote it ""would improve community safety, hold the gun industry and rogue gun dealers in our communities accountable, and save lives"", while the Moms Demand Action grassroots group added that it will ""double down on the progress made"" in last year's bill."
Aukus submarine deal: Is conflict with China getting closer?,"Aukus submarine deal: Is conflict with China getting closer? China has reacted with predictable anger to this week's official announcement of the so-called Aukus pact.  The details, unveiled on Monday in San Diego, bind together Australia, the UK and the US in a far-reaching defence and security alliance aimed at confronting Chinese military expansion in the Indo-Pacific region. ""Going down a dangerous road"", ""disregarding the concerns of the international community"" and even ""risking a new arms race and nuclear proliferation"" are just some of the accusations being levelled by Beijing at this trio of western allies. Not since the US Congressional leader Nancy Pelosi made her controversial visit to Taiwan last summer has China expressed such intense disapproval of Western actions.  China, the world's most populous nation, with the world's largest army and navy, says it is starting to feel ""penned in"" by the US and its allies in the western Pacific. In response, President Xi Jinping announced recently that China would accelerate the expansion of its defence spending and named national security as the primary concern of the coming years. Little wonder then that UK Prime Minister Rishi Sunak spoke this week about a dangerous decade ahead and the need to gear up to meet the growing security challenges. So how did we get to this point and is the world drawing closer to a catastrophic conflict in the Pacific between China and the US and its allies? The West got it wrong on China. For years there was a naïve assumption in foreign ministries that China's economic liberalisation would inevitably lead to an opening up of society and greater political freedom. As western multinational companies set up joint ventures and hundreds of millions of Chinese citizens began to enjoy a higher standard of living then surely, the reasoning went, the Chinese Communist Party (CCP) would loosen its grip on the population, allow some modest democratic reforms and become a fully-fledged member of the so-called ""rules-based international order"". But it hasn't worked out that way. Yes, China has become an economic giant, a vital, integral part of the global supply chain and the most important trading partner for countries all over the world. But instead of coupling this with a shift towards democracy and liberalisation, Beijing has embarked on a course that has alarmed both Western governments and many of its neighbours like Japan, South Korea and the Philippines. Such as? The list is long but here are the main bones of contention between China and the West: Militarily, China today is a force to be reckoned with. In recent years its People's Liberation Army has made enormous strides in technology and innovation as well as numbers. China's Dong Feng hypersonic missiles, for example, can travel at speeds in excess of Mach 5 (five times the speed of sound), armed with either a high explosive or nuclear warhead. This is giving the US Navy's 7th Fleet, based at Yokosuka, Japan, pause for thought as to just how close it is prepared to risk sailing to China's massed missile batteries onshore. On nuclear ballistic missiles too, China has embarked on a programme of rapid expansion, aiming to treble its number of warheads as it builds new silos out in remote western regions.  None of this though, means that China wants to go to war. It doesn't. When it comes to Taiwan, it would much prefer to exert enough pressure on it that it capitulates and submits to Beijing's rule without a shot being fired. On Hong Kong, the Uyghurs and intellectual property it knows that over time the criticism will die down because trade with China is simply too important for the rest of the world.  So although tensions are high right now, and there could well be flashpoints still to come, both sides - China and the West - know that a war in the Pacific would be catastrophic for everyone and despite the angry rhetoric, it is in absolutely no-one's interests. Suppressing China won't make US great - Beijing Allies unveil new details of nuclear submarine deal Sunak: China represents challenge to world order Submarine deal sends powerful message to China"
"Aukus deal: US, UK and Australia agree on nuclear submarine project","Aukus deal: US, UK and Australia agree on nuclear submarine project This video can not be played Joe Biden: ""Nuclear-powered, not nuclear-armed subs"" The US, UK and Australia have unveiled details of their plan to create a new fleet of nuclear-powered submarines, aimed at countering China's influence in the Indo-Pacific region. Under the Aukus pact Australia is to get its first nuclear-powered subs - at least three - from the US. The allies will also work to create a new fleet using cutting-edge tech, including UK-made Rolls-Royce reactors. Beijing has strongly criticised the significant naval deal. Its foreign ministry on Tuesday accused the three nations of ""walking further and further down the path of error and danger"". China's UN mission had earlier also accused the Western allies of setting back nuclear non-proliferation efforts. But US President Joe Biden said the deal was aimed at bolstering peace in the region and stressed the submarines would be ""nuclear-powered, not nuclear-armed"".  Speaking alongside the UK and Australian prime ministers - Rishi Sunak and Anthony Albanese - in San Diego, California, Mr Biden said the deal would not jeopardise Australia's commitment to being a nuclear-free country.  For Australia, it is a major upgrade to the US ally's military capabilities. The country becomes just the second after the UK to receive Washington's elite nuclear propulsion technology.  The submarines will be able to operate further and faster than the country's existing diesel-engine fleet and Australia will also be able to carry out long-range strikes against enemies for the first time.  Under the deal, Australian navy sailors will be sent to US and UK submarine bases from this year to learn how to use the nuclear-powered submarines. From 2027, the US and UK will also base a small number of nuclear submarines in Perth, Western Australia, before Canberra will buy three US-model Virginia-class submarines in the early 2030s - with options to purchase two more.  After that, the plan is to design and build an entirely new nuclear-powered submarine for the UK and Australian navies - a model that is being called SSN-AUKUS.  This attack craft will be built in Britain and Australia to a British design, but use technology from all three countries. President Biden said all three countries were committed to ensuring the Indo-Pacific region would remain free and open.  ""Forging this new partnership, we're showing again how democracies can deliver our own security and prosperity... not just for us but for the entire world,"" he said. He also pledged of $4.6bn (£3.7bn) to expanding the US' submarine construction capacity and improving maintenance of its current nuclear-powered Virginia-class submarines. Australia's PM said the plan - which will cost Canberra up to A$368bn (£201bn) over 30 years - marked the ""biggest single investment in Australia's defence capability in all of its history"". Anthony Albanese said building the submarines in Australian shipyards would also create thousands of local jobs. The UK PM also said thousands of jobs would be created in Derby and Barrow-in-Furness, where some of the construction would take place. Mr Sunak said that in the 18 months since the Aukus alliance was unveiled, the challenges to global stability had only grown.  ""Russia's illegal invasion of Ukraine, China's growing assertiveness, the destabilising behaviour of Iran and North Korea - all threaten to create a world codefined by danger, disorder and division,"" Mr Sunak said. As part of his visit to the US, Mr Sunak has also pledged to increase defence spending by nearly £5bn ($6bn) over the next two years to counter threats from hostile states. The Aukus security alliance - announced in September 2021 - has repeatedly drawn criticism from China. Beijing's foreign ministry last week reiterated its position that the pact risked creating an arms race. But the three Western countries say the security deal is aimed at shoring up stability in the Indo-Pacific.  While all three leaders have stressed how the deal will strengthen their co-operation, it hasn't been without its political fallout. In 2021, Australia scrapped a multi-million dollar diesel-powered submarine agreement with France in favour of the trilateral agreement - causing a political rift with Paris.  Australia also faces a delicate diplomatic situation with China - its largest trading partner. Analysts say the question will be whether it can continue to strengthen its military ties with US, while fostering commercial ties with Beijing. Submarine deal sends powerful message to China Sunak: China represents challenge to world order Sunak in US to finalise Aukus defence pact Australia's big gamble on the US over China"
Aukus: Australia's big gamble on the US over China,"Aukus: Australia's big gamble on the US over China This video can not be played The security pact enables Australia to build nuclear-powered submarines for the first time By signing the Aukus pact last week, Australia revealed where it stands in the world: It is taking the side of the US over China. It's a definitive move for a country in the Asia-Pacific region, experts say. The security deal with the US (and the UK) gives Australia a huge defence upgrade from the world's most powerful military. But it's a gift with strings attached. And there is debate over whether such a decision - made without public consultation - will play out in Australia's national interests. As China has grown in power, it has begun to challenge US dominance in the Asia-Pacific region. China has built the world's largest navy and has become increasingly assertive over contested areas such as the South China Sea.  Australia had long maintained it didn't have to choose between the two powers, but in recent years its attitude towards Beijing has hardened.   China has been suspected of interfering in Australian politics and of cyber attacks on key institutions.  Tensions were further inflamed last year when Australia called for an investigation into the origins of the coronavirus. A flurry of Chinese sanctions against Australian exports followed.  That was Australia's ""a-ha"" moment, says John Blaxland, an international security professor at the Australian National University. ""What happened was the dawning realisation that all these things that had preceded weren't benign,"" he says. ""We were talking about a country that had become surprisingly hostile."" Australia realised it needed to improve its defences - and quickly. On that front, Aukus is a big coup for the country. The pact will give Australia access to nuclear-powered submarines and long-range missiles from US technology. This ""super-enables an otherwise pedestrian middle-ranking military capability of little consequence beyond its border"", says Prof Blaxland. In the event of conflict, Australia would also for the first time have the ability to strike adversaries from a distance. ""This is about giving the Australian Defence Force a capable edge in a region where the capability of our own defence force when matched against China is going backwards,"" said Richard Maude, a former top Australian security official and now policy director at Asia Society Australia. For the US, it's a pretty big deal to share the crown jewels of its defence technology. But Washington views this ""one off"" trade as a crucial move in wider efforts to keep China at bay, experts say. As China projects naval power into the region, Australia's fleet - albeit small and some way off being completed - will be some form of counter alongside roving US forces, they add. ""We're trying to play catch-up by developing a credible deterrence to reduce prospects of war,"" says Prof Blaxland.  ""Because at the moment our deterrence is simply not credible. China can essentially act against us with a degree of impunity. That is becoming politically intolerable."" Critics argue Australia has given up its strategic ambiguity and made itself a bigger target because of the pact. ""The way in which it was announced rips away any pretence that Australia was not firmly on the side of containing China militarily,"" says Prof Allan Gyngell, president of the Australian Institute of International Affairs. Analysts warn Australia will probably face more economic retaliations from its biggest trading partner. ""The countries were a long way off returning to diplomatic normality and this only exacerbates that,"" says Dr Lai-Ha Chan from the University of Technology, Sydney. Others say Aukus also locks Australia in with the US for generations to come.  In the future, Australia may struggle to retain autonomy over decisions in its best interests. It will be reliant on foreign nuclear technology. ""We can't operate the submarines ourselves. So in effect we are ceding some of our sovereignty to the US, and maybe Britain,"" Prof Gyngell says. ""It will become therefore impossible for the major strike capacity of the Australian navy to operate without a US veto."" He says it also returns Australia to being ""a smaller partner in the Anglosphere"", despite it making noises in recent times about centring itself in Asia. ""We're hanging out again with the people we're comfortable with, ditching efforts to build closer relations with others in our region,"" Prof Gyngell says. ""That is a problem."" Mr Maude also highlights the risk where South-East Asia will ""increasingly feel that Australia regards security of the region as something that can only be managed by other major Western powers."" It's already caused some backlash within the Asean group of 10 South-East Asian nations. Indonesia has cancelled a meeting with Australia's Prime Minister Scott Morrison, and Malaysia has warned the pact is a ""catalyst for a nuclear arms race"". Analyst James Chin, from the University of Tasmania, says that Aukus ""reinforces the idea that the opinions of the Asean members matter little when it comes to the superpowers and how they operate in the region."" That said, some analysts say many smaller Asian nations are happy for the US, UK and Australia to make bold moves. ""In private, the pundits will tell you: 'We think you Australians are clod-hopping, ham-fisted and culturally insensitive but we don't dislike what you're actually doing. We just dislike how you're doing it - we'd like you to talk to us before you do it so we feel more included and appreciated,'"" says Prof Blaxland. Most experts say Australia has mishandled its diplomacy around Aukus. It also gravely offended France in reneging on the previous submarine deal. That's a poor sign, experts say, because international relations is as much about diplomacy - as it is about military pacts. It is in Australia's interests - and other democracies - for the US to maintain its dominance in the region, analysts say.  But scholars are fundamentally divided on the best way to achieve that. Some say a more cautious approach is needed; more hawkish voices say China won't respond to anything but a show of force. One thing seems certain - we're headed for a period of greater tension. ""We're used to East Asia being a place of calm in a world. That's no longer going to be true,"" says Prof Gyngell. ""So foreign policy and defence is going to impinge more on the lives of ordinary Australians than it has in past decades. Things are coming closer to home."" UK, US and Australia launch pact to counter China Aukus pact could signal power shift in Asia-Pacific UK defends submarine deal amid criticism Aukus pact delivers France some hard truths What might happen next in the South China Sea?"
Aukus pact delivers France some hard truths,"Aukus pact delivers France some hard truths When they have picked themselves up from their humiliation, the French will need to gather their sangfroid and confront some cruel verities. Number one: there is no sentiment in geostrategy.  The French must see there is no point in wailing about having been shoddily treated. They were.  But who ever heard of a nation short-changing its defence priorities out of not wanting to give offence? The fact is that the Australians calculated they had underestimated the Chinese threat and so needed to boost their level of deterrence. They acted with steely disregard for French concerns but, when it comes to the crunch, that is what nations do. It is almost the definition of a nation: a group of people who have come together to defend their own interests. Their own, not others'. Of course, sometimes nations decide their interests are best served by joining alliances. That's what the US did in suppressing its isolationist instincts in the last century. But the second painful truth exposed by the Aukus affair is that the US no longer has any great interest in the outdated behemoth that is Nato. Nor does it harbour any particular loyalty to those who have stood by its side. Gaullists in France - and President Emmanuel Macron is one of them - dream of their country as a fully independent power, exercising its force for good thanks to a global presence and nuclear-backed military strength. In practice, and not without considerable reserve, France has bound itself to the US-led alliance because that seemed both moral and expedient. But now the questions echo around Paris: Why did we bother? What was in it for us? ""This blow came completely out of the blue,"" says Renaud Girard, senior foreign affairs analyst at Le Figaro newspaper. ""Macron made so much effort to help the Anglo-Saxons. With the Americans in Afghanistan; with the British on military co-operation; with the Australians in the Indo-Pacific. Look, he kept saying, we're following you - we are genuine allies. ""And he made the effort not just with Biden - but with Trump too!  All that, and then this. No reward at all. Treated like dogs."" The French will now be re-evaluating their role in Nato. Their military participation in the organisation was suspended by De Gaulle in 1966 and only restored by Nicolas Sarkozy in 2009. There is no talk, yet, of a second withdrawal. But remember, Emmanuel Macron is the man who described Nato two years ago as ""brain-dead"". He will not have changed his mind. This video can not be played Australia’s ‘risky bet’ to side with US over China But the third harsh truth is that there is no obvious other way for France to fulfil its global ambitions. The lesson of the last week is that France by itself is too small to make much of a dent in strategic affairs.  Every four years the Chinese build as many ships as there are in the entire French fleet. When it came to the crunch, the Australians preferred to be close to a superpower, not a minipower. The conventional way out of the conundrum has been for the French to say their military future lies in Europe. The EU - with its vast population and technological resources - would be the springboard for France's global mission. But 30 years has given nothing beyond a few joint brigades, a bit of procurement planning and minor contingents from Estonia and the Czech Republic in Mali. For Renaud Girard, the idea of the EU as a military force is a ""complete joke"". So what can France do?  Accept realities. Try to form ad hoc alliances (like Macron was indeed trying to do in the Indo-Pacific).  Keep pushing the Germans to get over their 20th Century complexes and act like the power they really are. And keep open a doorway to the British. It may not be the easiest of suggestions at the moment. Relations between Paris and London are at their worst level for many years. The French find it hard to conceal their contempt for Boris Johnson, and many in London appear to feel the same way back. In the short term, it is quite possible that France will seek to punish the UK for its role in the Aukus affair, says Girard, possibly by scaling back the secret nuclear co-operation that forms part of the 2010 Lancaster Accords. There could be fall-out in other areas too, like the control of cross-Channel migrants. But the UK's is Europe's only other serious army. The two countries have similar histories and world experiences. Their soldiers respect each other. In the long term, Franco-British defence co-operation is too logical to ignore. That may be the last of Macron's painful truths.  France: US and Australia 'lying' over defence deal UK, US and Australia launch pact to counter China Aukus pact could signal power shift in Asia-Pacific"
Aukus: French minister condemns US and Australia 'lies' over security pact,"Aukus: French minister condemns US and Australia 'lies' over security pact This video can not be played Australia’s ‘risky bet’ to side with US over China France's foreign minister has accused Australia and the US of lying over a new security pact that prompted Paris to recall its ambassadors.  Jean-Yves Le Drian also accused the countries of ""duplicity, a major breach of trust and contempt"".  The pact, known as Aukus, thwarted a multibillion-dollar deal France had signed with Australia. Australian Prime Minister Scott Morrison said he had acted in the country's national interests. He insisted the French government ""would have had every reason to know that we had deep and grave concerns"" that the $37bn (£27bn) deal signed in 2016 - for France to build 12 conventional submarines - ""was not going to meet our strategic interests"". ""Of course it's a matter of great disappointment to the French government, so I understand their disappointment,"" he said. ""But at the same time, Australia like any sovereign nation must always take decisions that are in our sovereign national defence interest."" The Aukus agreement - which also includes the UK - will see Australia being given the technology to build nuclear-powered submarines as a way of countering China's influence in the contested South China Sea.  France was informed only hours before the public announcement was made earlier this week.  In an interview with France 2 television on Saturday, Mr Le Drian said a ""serious crisis"" was in progress between the allies.  ""The fact that for the first time in the history of relations between the United States and France we are recalling our ambassador for consultations is a serious political act, which shows the magnitude of the crisis that exists now between our countries,"" he told France 2.  He said the ambassadors were being recalled to ""re-evaluate the situation"".  But he said France had seen ""no need"" to recall its ambassador to the UK, as he accused the country of ""constant opportunism"".  ""Britain in this whole thing is a bit like the third wheel,"" he said.  Newly appointed UK Foreign Secretary Liz Truss defended the agreement in an article for The Sunday Telegraph, saying it showed Britain's readiness to be ""hard-headed"" in defence of its interests. The pact means Australia will become just the seventh nation in the world to operate nuclear-powered submarines. It will also see the allies share cyber capabilities, artificial intelligence and other undersea technologies. As he left Canberra on Saturday, French Ambassador Jean-Pierre Thebault called Australia's decision to unilaterally scrap the deal a ""huge mistake"". China meanwhile has accused the three powers involved in the security pact of having a ""Cold War mentality"". A White House official has said the Biden administration will engage with France in the coming days to resolve their differences. UK defends submarine deal amid criticism Defence pact an awkward wake-up call for Europe Aukus pact could signal power shift in Asia-Pacific Why is everyone fighting over the South China Sea?"
Aukus: Defence pact an awkward wake-up call for Europe,"Aukus: Defence pact an awkward wake-up call for Europe This video can not be played Watch: Australia’s ‘risky bet’ to side with US over China How do you even pronounce Aukus? Something along the lines of ""awkward"" came the wry suggestion from one Brussels diplomat this week. And while France has condemned the Australia-UK-US security pact as a ""stab in the back"", it is certainly awkward for the European Union too.  Firstly, because not only were they not in the room for discussions, they barely seemed to know the room existed. Josep Borrell is the EU's High Representative for Foreign Affairs and Security Policy. A big title but one that had not, in this case, gained him any privileged access.  Aukus is being seen as a significant attempt to counter Chinese influence in the South China Sea.  And as Mr Borrell stood at the podium for a press briefing this week, to launch the EU's own Indo-Pacific strategy, the incoming questions were not so much about his announcement, but someone else's.  The foreign policy chief admitted he was not exactly ""glad"" at how the timings had clashed but also declared it was a wake-up call for Europe, that they had to take the initiative.  But that leads to a second awkwardness. How?  The EU is not a military power, although we heard calls this week from Commission President Ursula von der Leyen for a ""European Defence Union"". Cue eye-rolls amongst some who feel like they have heard it all before.  This video can not be played Ursula von der Leyen said the EU had to develop the political will to act Even if the EU could figure out how to flex some more muscle, it would have to then decide what that was for.  And that would not be easy either.  ""The strategic environment does not look the same from Warsaw, Athens, Paris or Berlin,"" says Ian Lesser, vice-president of policy think tank The German Marshall Fund of the United States.  However, he suggests the European Union is pretty clear in terms of what it does not want, which goes to a third issue. The EU does not want to be caught in the middle as things escalate: to have to choose, as he puts it, ""between the United States and China in an increasingly fraught environment"".  Finally, member state France is seething. A significant military power in its own right, France has interests and a presence in the region. Its deal with Australia was a key part of its strategy there. The multibillion-dollar contract is one thing, the hit on a painstakingly constructed regional strategy another.  So, in summary, for the EU the timing was bad; the lack of forewarning a bit embarrassing, even if not that surprising. And, as Afghanistan did, it has thrown into sharper relief questions about the bloc's own strategic autonomy. Things heated up this week between the West and China and the EU did not quite know where to look.  EU must step up and build defence - von der Leyen US-UK face backlash over defence deal Aukus pact could signal power shift in Asia-Pacific"
Moody's warns of more pain for US banks as downgrades sector,"Moody's warns of more pain for US banks as downgrades sector This video can not be played Is this the start of a financial crisis? Ratings giant Moody's has warned of more pain ahead for the US banking system after a run on deposits led to the collapse of Silicon Valley Bank. Moody's cut its outlook for the sector to ""negative"" from stable, warning of ""a rapid deterioration in the operating environment"". The downgrade came as banking shares in the US and Europe rebounded following earlier losses. But Moody's said some other banks faced risks of customer withdrawals.  It said rising interest rates also pose a challenge, exposing banks that bought assets such as government bonds when interest rates were low, to potential losses. ""Banks with substantial unrealized securities losses and with non-retail and uninsured US depositors may still be more sensitive to depositor competition or ultimate flight,"" Moody's said in the report.  ""We expect pressures to persist and be exacerbated by ongoing monetary policy tightening, with interest rates likely to remain higher for longer until inflation returns to within the Fed's target range."" Authorities have acted quickly to try to contain fallout after the shock collapse of Silicon Valley Bank (SVB), the 16th largest in the US. The firm, a key lender to technology firms, failed last week after a rush of customer withdrawals, sparked by the bank's disclosure that it needed to raise money and had been forced to sell a portfolio of assets, mostly government bonds, at a loss. US regulators took over the bank and said they would guarantee deposits beyond the $250,000 level typically insured by the government. They took similar steps at smaller Signature Bank.  Officials from the Department of Justice and Securities and Exchange Commission are now investigating the collapse, US media reported. Reports have suggested that some customers of smaller US banks have been trying to put their money into bigger institutions. However, ratings agency S&P Global said it hadn't seen evidence of runs on banks other than at those that had collapsed. It said emergency measures brought in by the Federal Reserve should lower the risk of bank customers losing confidence. However, it added that ""conditions remain fluid"" and ""some banks are showing greater signs of stress than others"", including First Republic bank. Analysts expect the turmoil in the financial system sparked by the failures to lead the Fed to slow or pause its rate rises when it meets next week. That view gained traction on Tuesday after the latest inflation report showed prices in the US up 6% in the 12 months to February, in line with expectations, helping to boost shares. As trading began on Tuesday, San Francisco-based First Republic Bank - which had seen its share price tank by 62% on Monday - jumped more than 50%, one of a number of firms whose shares were staging a recovery. It ultimately closed roughly 30% higher.  The three main stock indexes also climbed, with the Dow up 1%, the S&P 500 climbing 1.7% and the Nasdaq ending the day more than 2% higher.  In the UK, bank shares - which saw sharp falls on Monday - were all mostly higher by Tuesday afternoon. The FTSE 100 ended up roughly 1.2%.  The European Stoxx banking index also opened lower on Tuesday but then recovered to end nearly 3% higher. But shares in HSBC, which rescued SVB's UK business for £1, closed down 1%, and there were steep losses overnight in Japan, where major lenders such as the country's largest bank MUFG, saw their share prices tumble by more than 8%.  An index of Japanese banking stocks, known as the Topix Banks Index, plunged by 7.4%, despite reassurances from the Bank of Japan (BoJ).  ""Japanese financial institutions' direct exposure to Silicon Valley Bank is small, and thus the impact is likely limited,"" said a BoJ official. How bad is US banking crisis and what does it mean? US shares rebound after Silicon Valley Bank turmoil Lessons learned from failed 'tech bank' SVB HSBC swoops in to rescue UK arm of Silicon Valley Bank"
